device	posX	posY	posZ	rotX	rotY	rotZ
head	-2.32	8.92	-59.09	37.25	61.48	65.56
head	-2.32	8.92	-59.09	37.25	61.48	65.56
head	-2.32	8.92	-59.09	37.25	61.48	65.56
head	-2.32	8.92	-59.09	37.25	61.48	65.56
lh	9.99	10.54	-109.78	63.49	38.21	40.26
lh	29.29	-9.97	-107.16	45.14	51.53	60.54
lh	15.18	9.16	-111.27	67.99	77.44	63.11
lh	28.57	31.79	-26.22	45.04	157.65	146.35
rh	-12.33	12.08	-108.91	73.01	35.37	34.44
rh	-40.05	-3.76	-103.86	56.55	38.58	44.77
rh	-12.82	11.02	-110.15	76.84	80.34	60.86
rh	-23.21	33.85	-22.45	51.49	146.57	153.79
lf	23.25	15.73	111.00	14.03	15.82	74.22
lf	23.52	-22.86	104.06	31.47	41.88	35.15
lf	20.46	15.64	111.40	14.77	30.10	29.97
lf	15.98	97.36	-18.97	53.45	137.17	7.64
rf	-24.67	15.66	108.12	9.14	13.98	117.11
rf	-30.60	-19.46	101.37	16.84	44.44	40.38
rf	-24.99	15.22	108.26	16.79	68.43	75.72
rf	-10.15	97.05	-21.59	55.44	133.39	18.03
