device	posX	posY	posZ	rotX	rotY	rotZ
head	0.1	-60.9	-20.3	155.8	11482.8	11923.2
head	0.01	-60.15	-20.03	745.49	65594.01	67402.89
head	0.08	-60.96	-20.75	1395.33	8145.06	8616.48
head	0.04	-60.10	-20.21	183.88	8960.60	9391.92
head	-0.03	-60.91	-20.32	717.25	11519.59	11808.03
lh	31.5	32.5	-23.0	46.4	145.2	154.8
lh	19.85	-33.20	-78.16	2.53	168.80	117.29
lh	24.09	-24.84	-95.28	18.35	158.75	108.02
lh	22.26	-31.75	-77.30	0.21	162.42	109.47
lh	26.81	30.94	-20.74	46.09	162.51	134.75
rh	-24.6	34.3	-23.7	45.6	147.5	161.1
rh	-9.49	-28.90	-77.89	1.12	167.67	109.06
rh	-12.41	-19.13	-96.78	27.25	158.55	108.75
rh	-11.72	-27.78	-77.99	5.43	162.61	106.96
rh	-25.60	33.51	-17.98	44.34	154.13	155.97
lf	14.8	98.7	-16.9	51.3	145.4	9.2
lf	36.03	95.19	-17.22	62.96	124.79	12.83
lf	38.47	75.58	-26.93	34.50	118.31	9.65
lf	35.77	96.46	-16.73	61.61	120.36	12.65
lf	13.52	96.49	-20.50	52.32	147.25	10.78
rf	-7.3	97.5	-17.8	52.6	148.5	18.2
rf	-27.40	95.47	-31.34	4.53	174.15	179.41
rf	-25.86	76.05	-33.01	31.65	112.68	29.87
rf	-27.72	96.48	-30.66	5.75	170.07	178.16
rf	-11.10	95.88	-21.26	52.41	138.41	22.58
