device	posX	posY	posZ	rotX	rotY	rotZ
head	0.1	-60.9	-20.3	155.8	11482.8	11923.2
head	-0.07	-60.89	-20.30	561.27	12071.14	11913.00
head	-0.22	-60.00	-20.22	165.11	6956.17	10448.39
head	-0.04	-60.94	-20.30	352.95	11710.97	11806.45
head	-0.01	-60.88	-20.27	450.72	12245.03	12256.54
head	0.13	-60.90	-20.22	117.18	9132.98	10860.77
head	-0.04	-60.94	-20.30	352.95	11710.97	11806.45
lh	31.5	32.5	-23.0	46.4	145.2	154.8
lh	22.83	33.29	-17.91	41.97	168.61	162.99
lh	20.87	33.10	-20.97	38.26	170.11	153.77
lh	25.28	32.48	-22.01	42.96	152.20	171.78
lh	-15.60	-49.39	-12.10	22.19	51.11	153.21
lh	-12.11	-50.46	-12.32	29.51	49.12	169.63
lh	25.28	32.48	-22.01	42.96	152.20	171.78
rh	-24.6	34.3	-23.7	45.6	147.5	161.1
rh	10.99	-47.64	-11.80	22.62	42.25	171.90
rh	6.86	-50.89	-15.08	41.48	61.30	147.36
rh	-28.53	34.95	-19.50	52.10	146.55	166.94
rh	-23.83	33.97	-20.66	38.37	172.49	177.64
rh	-28.57	33.78	-18.83	41.04	162.57	168.42
rh	-28.53	34.95	-19.50	52.10	146.55	166.94
lf	14.8	98.7	-16.9	51.3	145.4	9.2
lf	10.35	97.29	-20.86	46.81	151.92	10.25
lf	8.20	96.07	-20.65	47.63	145.83	13.76
lf	8.55	96.30	-18.39	45.13	149.67	9.05
lf	11.59	96.04	-19.10	47.30	149.68	9.12
lf	9.88	95.83	-20.14	47.66	149.87	11.44
lf	8.55	96.30	-18.39	45.13	149.67	9.05
rf	-7.3	97.5	-17.8	52.6	148.5	18.2
rf	-13.37	95.28	-18.75	48.09	142.56	19.64
rf	-13.36	95.11	-22.06	49.50	149.23	22.50
rf	-13.56	95.65	-18.91	47.10	144.28	19.91
rf	-10.78	95.26	-18.22	48.85	141.90	24.00
rf	-12.76	95.23	-18.81	48.92	147.83	23.49
rf	-13.56	95.65	-18.91	47.10	144.28	19.91
