device	posX	posY	posZ	rotX	rotY	rotZ
head	-3.38	-60.42	-11.29	2.88	175.64	178.03
head	-3.32	39.67	-52.43	5.13	134.13	124.51
head	-5.46	-60.29	-18.49	2.61	169.43	179.42
lh	15.27	-37.07	-76.79	4.13	169.09	122.07
lh	-15.36	100.94	25.95	84.86	141.15	140.30
lh	15.17	34.03	-24.65	41.80	149.85	175.57
rh	-17.06	-33.43	-76.85	8.29	170.65	109.63
rh	-14.04	101.16	-32.86	11.59	125.61	133.25
rh	-28.69	34.81	-22.13	45.50	170.56	176.47
lf	9.20	93.58	-15.75	52.21	147.32	7.57
lf	12.40	101.27	-19.95	18.93	117.18	30.59
lf	5.98	97.68	-20.76	50.50	151.99	10.67
rf	-16.53	95.84	-16.87	54.48	145.98	19.08
rf	-10.10	100.03	-17.95	18.88	122.17	21.48
rf	-17.39	95.27	-16.38	53.39	134.91	14.61
