device	posX	posY	posZ	rotX	rotY	rotZ
head	0.58	-56.5	-20.7	-93.4	-1	-2.8
head	1.32	-57.4	-13.7	-89.7	0.83	-4.7
head	1.7	-53.2	-14.6	-93.7	2.23	-9.6
head	0.46	-52.4	-17.6	-98.3	-0.4	-5.6
head	0.6	-53.3	-17.5	-96.3	2.3	-5.6
head	0.4	-53.6	-22.6	-94.7	2.2	-4.3
lh	20.5	34.4	-23	-139.6	-16.7	10
lh	15.4	-44.8	-79.1	-87	-5.6	-49	
lh	18.8	-107.4	-13.6	-34.6	-14.6	-34.6
lh	88.2	-30.4	-11.5	-30.8	16.2	-73
lh	89.6	-32.2	-4.9	-117.4	64.2	17
lh	24.8	37.8	-16.1	-150.7	26.2	-39.5
rh	-22.6	36.3	-19.7	-144	1.8	-17.4
rh	-13.5	-37.8	-79.5	-94.4	-74	48.4
rh	-18	-106	-14.5	-41.1	16.3	29.3
rh	-84.5	-32.6	-18	-38.8	-19.3	70
rh	-84.8	-29.5	-19.8	-101.3	-68.2	-14.7
rh	-21.7	40	-14	-155	-34.3	25.6
lf	11	99.1	-19.1	-81.6	-56.6	-83.9
lf	12	98.5	-19.1	-81.8	-56.6	-86.7
lf	12.4	101.9	-18.5	-81.6	-58	-89
lf	12.7	101.7	-16.4	-81.6	-57	-87.5
lf	11.5	101.4	-19.7	-81.1	-58.5	-87.1
lf	12.4	101.6	-17.8	-81.5	-57.4	-87.2
rf	-7.9	98.9	-20.8	-85.1	56.4	77.4
rf	-6.3	98.7	-20.3	-85.2	55.3	75.4
rf	-6.2	102.1	-19.2	-114.7	-60.6	-87.8
rf	-5.1	102.2	-17	-115	-60	-86
rf	-5.5	102.4	-19.8	-115.2	-61.2	-85.8
rf	-4.7	102.6	-17.7	-115.1	-60.1	-86
