device	px	py	pz	rx	ry	rz
head	-1.42	-57.42	-20.79	-89.12	-3.32	-1.60
head	1.71	-56.40	-21.43	-93.29	-4.54	8.49
head	-1.41	-57.46	-19.58	-91.20	-0.04	-0.79
head	-4.29	-55.96	-23.74	-91.01	0.18	-0.89
head	-1.56	-57.41	-21.35	-90.32	-2.01	0.09
lh	20.87	36.00	-21.54	-146.24	-7.72	4.95
lh	82.61	-28.04	-37.73	-120.66	30.34	55.42
lh	21.19	35.20	-20.50	-145.75	-14.69	10.29
lh	81.28	-30.43	-32.36	-117.29	44.65	38.82
lh	20.04	34.90	-21.11	-141.57	-20.21	14.35
rh	-19.26	37.97	-18.79	-148.58	1.12	-7.62
rh	-84.41	-22.49	-22.20	-117.01	-61.97	-19.52
rh	-20.06	37.34	-17.02	-147.55	7.74	-12.35
rh	-90.12	-25.04	-18.97	-102.66	-64.9	-19.75
rh	-25.86	37.07	-15.95	-149.47	-10.05	-11.34
lf	8.79	99.34	-19.27	-82.67	-57.29	-84.72
lf	-0.08	98.65	-21.03	-82.73	-58.00	-76.11
lf	9.62	98.66	-19.12	-83.10	-56.96	-85.07
lf	17.17	72.45	-23.86	-86.96	-25.37	-106.31
lf	8.39	98.66	-20.66	-82.81	-57.45	-82.82
rh	-8.66	99.21	-19.45	-84.79	54.62	77.79
rh	-14.16	59.93	-50.12	-115.18	-59.81	-75.27
rh	-5.60	98.74	-19.95	-109.37	-58.89	-85.02
rh	1.07	99.51	-21.28	-113.07	-53.05	-91.73
rh	-8.18	98.13	-23.00	-85.02	55.42	79.45
